Entity,Code,Year,14.1.1 - Beach litter per square kilometer (Number) - EN_MAR_BEALITSQ
Vanuatu,VUT,2021,78610.59
Vanuatu,VUT,2022,1102307.6
Venezuela,VEN,2016,1614655.8
Venezuela,VEN,2017,2192921.2
Venezuela,VEN,2018,2108749.8
Venezuela,VEN,2021,745847
Venezuela,VEN,2022,457625.03
Vietnam,VNM,2016,3446296
Vietnam,VNM,2017,2302819
Vietnam,VNM,2018,3492480
Vietnam,VNM,2021,199092.45
Vietnam,VNM,2022,165575.69
Wallis and Futuna,WLF,2021,1352973
Wallis and Futuna,WLF,2022,1551896.2
World,OWID_WRL,2015,30963632
World,OWID_WRL,2016,15450519
World,OWID_WRL,2017,17937112
World,OWID_WRL,2018,35052868
World,OWID_WRL,2019,10877298
World,OWID_WRL,2020,4211091.5
World,OWID_WRL,2021,3544331
World,OWID_WRL,2022,224679
